Potential (V),Current (µA)
0.331,14.820834
0.332,15.00125
0.333,15.212501
0.334,15.408333
0.335,15.6016655
0.336,15.7575
0.337,15.943749
0.338,16.098333
0.339,16.270834
0.34,16.437498
0.341,16.63125
0.342,16.827917
0.343,17.024168
0.344,17.22625
0.345,17.437918
0.346,17.633333
0.347,17.814583
0.348,17.999582
0.349,18.18625
0.35,18.397501
0.351,18.599167
0.352,18.817917
0.353,19.023748
0.354,19.22625
0.355,19.429167
0.356,19.621666
0.357,19.818335
0.358,20.010832
0.359,20.222916
0.36,20.450832
0.361,20.682499
0.362,20.909166
0.363,21.1325
0.364,21.344168
0.365,21.545416
0.366,21.746252
0.367,21.960417
0.368,22.194166
0.369,22.410833
0.37,22.639166
0.371,22.865
0.372,23.099585
0.373,23.34375
0.374,23.534164
0.375,23.744583
0.376,23.941668
0.377,24.18625
0.378,24.431665
0.379,24.655416
0.38,24.90375
0.381,25.13875
0.382,25.386667
0.383,25.618334
0.384,25.835417
0.385,26.067917
0.386,26.303335
0.387,26.552916
0.388,26.799166
0.389,27.04625
0.39,27.29
0.391,27.541666
0.392,27.788332
0.393,28.025415
0.394,28.251251
0.395,28.484167
0.396,28.753752
0.397,29.005835
0.398,29.267916
0.399,29.517084
0.4,29.784584
0.401,29.376669
0.402,28.979166
0.403,28.645834
0.404,29.0
0.405,29.354166
0.406,29.679167
0.407,29.991667
0.408,30.324999
0.409,30.633333
0.41,30.941666
0.411,31.208334
0.412,31.475
0.413,31.754166
0.414,32.05417
0.415,32.354168
0.416,32.658333
0.417,32.933334
0.418,33.241665
0.419,33.529167
0.42,33.80417
0.421,34.05417
0.422,34.295834
0.423,34.587498
0.424,34.875
0.425,35.17917
0.426,35.470837
0.427,35.74167
0.428,36.016666
0.429,36.270832
0.43,36.545834
0.431,36.82083
0.432,37.1125
0.433,37.404167
0.434,37.683334
0.435,37.962498
0.436,38.24583
0.437,38.5375
0.438,38.787502
0.439,39.0375
0.44,39.262497
0.441,39.55417
0.442,39.820835
0.443,40.120834
0.444,40.399998
0.445,40.67917
0.446,40.95
0.447,41.1875
0.448,41.44583
0.449,41.716667
0.45,41.995834
0.451,42.279163
0.452,42.533337
0.453,42.808334
0.454,43.087498
0.455,43.337498
0.456,43.604168
0.457,43.825
0.458,44.09167
0.459,44.350002
0.46,44.63333
0.461,44.912502
0.462,45.166668
0.463,45.43333
0.464,45.704163
0.465,45.983334
0.466,46.225002
0.467,46.44167
0.468,46.670834
0.469,46.92917
0.47,47.204166
0.471,47.45
0.472,47.708332
0.473,47.954166
0.474,48.229168
0.475,48.4375
0.476,48.675
0.477,48.912495
0.478,49.1875
0.479,49.454163
0.48,49.704163
0.481,49.966663
0.482,50.220837
0.483,50.470837
0.484,50.691666
0.485,50.891666
0.486,51.095837
0.487,51.341663
0.488,51.579166
0.489,51.850002
0.49,52.104168
0.491,52.375
0.492,52.61667
0.493,52.820835
0.494,53.041668
0.495,53.25833
0.496,53.495834
0.497,53.737503
0.498,53.96667
0.499,54.212505
0.5,54.449997
0.501,54.68333
0.502,54.875
0.503,55.033337
0.504,55.225002
0.505,55.445835
0.506,55.6875
0.507,55.912502
0.508,56.1375
0.509,56.350002
0.51,56.57083
0.511,56.75417
0.512,56.958332
0.513,57.141666
0.514,57.3875
0.515,57.625
0.516,57.841663
0.517,58.045834
0.518,58.22083
0.519,58.420834
0.52,58.6125
0.521,58.766666
0.522,58.9375
0.523,59.083332
0.524,59.30833
0.525,59.504166
0.526,59.7
0.527,59.8875
0.528,60.075
0.529,60.254166
0.53,60.404163
0.531,60.55417
0.532,60.7375
0.533,60.904163
0.534,61.079166
0.535,61.254166
0.536,61.420826
0.537,61.59583
0.538,61.766666
0.539,61.904163
0.54,62.058334
0.541,62.18333
0.542,62.3875
0.543,62.545837
0.544,62.725002
0.545,62.8875
0.546,63.05417
0.547,63.220837
0.548,63.350006
0.549,63.487503
0.55,63.6125
0.551,63.754166
0.552,63.891663
0.553,64.05417
0.554,64.200005
0.555,64.375
0.556,64.49167
0.557,64.604164
0.558,64.683334
0.559,64.787506
0.56,64.93333
0.561,65.06667
0.562,65.21667
0.563,65.36667
0.564,65.51666
0.565,65.6625
0.566,65.725006
0.567,65.8125
0.568,65.895836
0.569,66.02917
0.57,66.166664
0.571,66.27917
0.572,66.424995
0.573,66.55833
0.574,66.6875
0.575,66.770836
0.576,66.833336
0.577,66.90417
0.578,67.025
0.579,67.1125
0.58,67.2375
0.581,67.34583
0.582,67.47083
0.583,67.58333
0.584,67.65417
0.585,67.73333
0.586,67.799995
0.587,67.89167
0.588,68.0
0.589,68.1
0.59,68.208336
0.591,68.325005
0.592,68.42083
0.593,68.525
0.594,68.54584
0.595,68.61666
0.596,68.65417
0.597,68.75
0.598,68.82083
0.599,68.895836
0.6,68.979164
0.601,69.041664
0.602,69.12917
0.603,69.18333
0.604,69.254166
0.605,69.30834
0.606,69.40417
0.607,69.47083
0.608,69.5625
0.609,69.64166
0.61,69.73334
0.611,69.82917
0.612,69.87501
0.613,69.95417
0.614,69.98334
0.615,70.066666
0.616,70.12916
0.617,70.21667
0.618,70.30834
0.619,70.38333
0.62,70.458336
0.621,70.49166
0.622,70.525
0.623,70.55416
0.624,70.61667
0.625,70.69583
0.626,70.791664
0.627,70.85
0.628,70.92083
0.629,70.958336
0.63,70.979164
0.631,70.99584
0.632,71.01667
0.633,71.09167
0.634,71.15417
0.635,71.229164
0.636,71.29583
0.637,71.354164
0.638,71.40833
0.639,71.4125
0.64,71.43333
0.641,71.44583
0.642,71.51666
0.643,71.59167
0.644,71.67083
0.645,71.74583
0.646,71.80416
0.647,71.85
0.648,71.89167
0.649,71.9
0.65,71.916664
0.651,71.950005
0.652,72.004166
0.653,72.066666
0.654,72.11667
0.655,72.17084
0.656,72.23333
0.657,72.28333
0.658,72.299995
0.659,72.32084
0.66,72.325005
0.661,72.399994
0.662,72.450005
0.663,72.50417
0.664,72.54584
0.665,72.56667
0.666,72.629166
0.667,72.63333
0.668,72.65833
0.669,72.6625
0.67,72.71667
0.671,72.770836
0.672,72.84167
0.673,72.88334
0.674,72.94584
0.675,72.99167
0.676,73.020836
0.677,73.02917
0.678,73.02917
0.679,73.1
0.68,73.1625
0.681,73.22083
0.682,73.25417
0.683,73.299995
0.684,73.375
0.685,73.387505
0.686,73.416664
0.687,73.416664
0.688,73.45416
0.689,73.50417
0.69,73.5625
0.691,73.620834
0.692,73.6625
0.693,73.69584
0.694,73.70417
0.695,73.72083
0.696,73.737495
0.697,73.79583
0.698,73.8375
0.699,73.887505
0.7,73.92083
0.701,73.95417
0.702,74.0
0.703,73.995834
0.704,74.0
0.705,73.987495
0.706,74.049995
0.707,74.1
0.708,74.13333
0.709,74.1625
0.71,74.2
0.711,74.270836
0.712,74.337494
0.713,74.325005
0.714,74.31667
0.715,74.29168
0.716,74.34583
0.717,74.4
0.718,74.44583
0.719,74.504166
0.72,74.5375
0.721,74.583336
0.722,74.57917
0.723,74.57083
0.724,74.558334
0.725,74.57083
0.726,74.59167
0.727,74.629166
0.728,74.674995
0.729,74.725
0.73,74.770836
0.731,74.7625
0.732,74.75833
0.733,74.754166
0.734,74.7875
0.735,74.825005
