Potential (V),Current (µA)
0.328,24.17
0.329,24.373331
0.33,24.55625
0.331,24.795416
0.332,25.04875
0.333,25.289167
0.334,25.52625
0.335,25.761667
0.336,26.007086
0.337,26.236252
0.338,26.420832
0.339,26.637083
0.34,26.855417
0.341,27.112501
0.342,27.380835
0.343,27.605833
0.344,27.865
0.345,28.106249
0.346,28.392502
0.347,28.645834
0.348,28.879583
0.349,29.110834
0.35,29.363749
0.351,29.632086
0.352,29.902084
0.353,29.521666
0.354,29.231667
0.355,28.983332
0.356,29.362501
0.357,29.670832
0.358,29.991667
0.359,30.341665
0.36,30.6875
0.361,31.025
0.362,31.341667
0.363,31.691666
0.364,31.991667
0.365,32.308334
0.366,32.57083
0.367,32.87917
0.368,33.1875
0.369,33.516666
0.37,33.833332
0.371,34.158337
0.372,34.5
0.373,34.816666
0.374,35.07083
0.375,35.36667
0.376,35.633335
0.377,35.97083
0.378,36.279163
0.379,36.616665
0.38,36.962498
0.381,37.287502
0.382,37.63333
0.383,37.941666
0.384,38.24583
0.385,38.591663
0.386,38.916668
0.387,39.274998
0.388,39.57083
0.389,39.912502
0.39,40.208332
0.391,40.541668
0.392,40.875
0.393,41.204166
0.394,41.516666
0.395,41.825
0.396,42.175003
0.397,42.55
0.398,42.908337
0.399,43.2625
0.4,43.620834
0.401,43.9875
0.402,44.3
0.403,44.595837
0.404,44.891663
0.405,45.24583
0.406,45.587498
0.407,45.933334
0.408,46.316666
0.409,46.699997
0.41,47.091663
0.411,47.37083
0.412,47.675
0.413,47.9875
0.414,48.345837
0.415,48.7
0.416,49.045834
0.417,49.395832
0.418,49.75
0.419,50.108337
0.42,50.458332
0.421,50.795834
0.422,51.129166
0.423,51.475002
0.424,51.833332
0.425,52.183334
0.426,52.5625
0.427,52.912502
0.428,53.270832
0.429,53.56667
0.43,53.870834
0.431,54.19167
0.432,54.5625
0.433,54.94583
0.434,55.32083
0.435,55.670834
0.436,56.0125
0.437,56.354168
0.438,56.670834
0.439,56.974995
