network_name,train_r2,train_mae,test_r2,test_mae,n_train,n_test,rank,is_top
TwoLayer-512-128-1,0.9980869023254336,8.308777761449031,0.9255860623104083,52.6923397860606,5676,132,1,True
Simple-512-1,0.9979412154010125,8.873243065824525,0.9186744454520028,53.893747561212116,5676,132,2,True
Bottleneck-512-64-1,0.9972291894546891,9.66425138856589,0.9172143576295626,55.59344882068182,5676,132,3,True
HighDrop-512-256-1,0.997528007664383,9.542851936955604,0.9165967658874578,55.976827152651516,5676,132,4,False
Simple-256-1,0.9980723999656151,8.239795439952431,0.9158113187894484,55.18328723121213,5676,132,5,False
TwoLayer-256-64-1,0.9973387778222708,9.69962737112824,0.9149340882520756,55.34519902303031,5676,132,6,False
Simple-128-1,0.9979193723874893,8.55882013063425,0.9113017230682224,55.31727201727272,5676,132,7,False
HighDrop-256-128-1,0.9965601648736456,11.2641507740222,0.9107611148646604,59.26272654454545,5676,132,8,False
Small-64-32-1,0.9991996533916078,3.0628634426391814,0.9103689015619565,57.41789186833333,5676,132,9,False
TwoLayer-256-128-1,0.9980123207086146,8.425580828631078,0.9040605241318508,59.33956772719698,5676,132,10,False
Wide-1024-1,0.9969691711833483,10.547024953074347,0.9028602651292612,57.7385311494697,5676,132,11,False
ThreeLayer-256-128-64-1,0.9980331395350155,8.518958269913671,0.9018866508368704,61.08790295780303,5676,132,12,False
Tiny-64-1,0.9986684938516118,2.998637172221635,0.8934892125765673,61.454020458636364,5676,132,13,False
Small-32-16-1-Leaky,0.9997879264627326,1.4273410557170547,0.8919884808149497,60.95711492431818,5676,132,14,False
FourLayer-512-256-128-64-1,0.9977209069248032,9.13476372022551,0.8917668011234064,64.12954306242425,5676,132,15,False
Pyramid-384-192-96-1,0.9981605995118183,7.853291154587739,0.8909666002800276,61.308318064469695,5676,132,16,False
ThreeLayer-512-256-128-1,0.9981961699517571,7.880614249577167,0.887588223043516,62.11707853787879,5676,132,17,False
TwoLayer-128-64-1,0.997608067568546,9.294876836481677,0.8860347894191957,63.01504411431817,5676,132,18,False
Minimal-16-1,0.9993737381401323,2.6204415658932345,0.8743488264427617,63.053049232499994,5676,132,19,False
Tiny-32-1-Tanh,0.9998085254639723,2.407863607737844,0.8724942551347331,63.53609016553031,5676,132,20,False
