Potential (V),Current (µA)
0.33,-9.166667
0.331,-10.0
0.332,-10.0
0.333,-10.0
0.334,-9.166667
0.335,-9.166667
0.336,-8.333333
0.337,-9.166667
0.338,-9.166667
0.339,-9.166667
0.34,-10.0
0.341,-10.0
0.342,-10.0
0.343,-9.166667
0.344,-10.0
0.345,-10.833333
0.346,-10.0
0.347,-10.833333
0.348,-10.0
0.349,-10.0
0.35,-8.333333
0.351,-9.166667
0.352,-10.0
0.353,-9.166667
0.354,-9.166667
0.355,-8.333333
0.356,-9.166667
0.357,-6.6666665
0.358,-7.5
0.359,-6.6666665
0.36,-8.333333
0.361,-8.333333
0.362,-10.0
0.363,-10.833333
0.364,-10.833333
0.365,-10.0
0.366,-9.166667
0.367,-9.166667
0.368,-9.166667
0.369,-9.166667
0.37,-9.166667
0.371,-9.166667
0.372,-9.166667
0.373,-9.166667
0.374,-9.166667
0.375,-10.0
0.376,-10.0
0.377,-9.166667
0.378,-8.333333
0.379,-8.333333
0.38,-8.333333
0.381,-8.333333
0.382,-8.333333
0.383,-9.166667
0.384,-9.166667
0.385,-8.333333
0.386,-8.333333
0.387,-9.166667
0.388,-10.0
0.389,-9.166667
0.39,-8.333333
0.391,-8.333333
0.392,-9.166667
0.393,-10.0
0.394,-10.0
0.395,-9.166667
0.396,-9.166667
0.397,-9.166667
0.398,-10.0
0.399,-10.0
0.4,-9.166667
0.401,-8.333333
0.402,-7.5
0.403,-7.5
0.404,-7.5
0.405,-8.333333
0.406,-8.333333
0.407,-8.333333
0.408,-8.333333
0.409,-9.166667
0.41,-10.0
0.411,-10.0
0.412,-8.333333
0.413,-8.333333
0.414,-8.333333
0.415,-7.5
0.416,-7.5
0.417,-6.6666665
0.418,-9.166667
0.419,-8.333333
0.42,-8.333333
0.421,-8.333333
0.422,-7.5
0.423,-7.5
0.424,-6.6666665
0.425,-8.333333
0.426,-6.6666665
0.427,-6.6666665
0.428,-5.8333335
0.429,-5.0
0.43,-5.0
0.431,-5.0
0.432,-8.333333
0.433,-7.5
0.434,-6.6666665
0.435,-5.0
0.436,-6.6666665
0.437,-8.333333
0.438,-9.166667
0.439,-8.333333
0.44,-7.5
0.441,-8.333333
0.442,-8.333333
0.443,-8.333333
0.444,-8.333333
0.445,-9.166667
0.446,-10.0
0.447,-9.166667
0.448,-7.5
